,city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,port alfred,0.0,ZA,1566254104.0,76.0,-33.59,26.89,59.0,5.99
1,bluff,0.0,AU,1566254104.0,25.0,-23.58,149.07,59.96,10.07
2,adre,79.0,TD,1566254105.0,86.0,13.47,22.2,70.94,3.09
3,busselton,0.0,AU,1566254105.0,76.0,-33.64,115.35,39.0,9.28
4,punta arenas,0.0,CL,1566254105.0,86.0,-53.16,-70.91,39.2,6.93
5,katsuura,75.0,JP,1566254105.0,94.0,33.93,134.5,78.01,4.7
6,lasa,0.0,CY,1566254105.0,73.0,34.92,32.53,80.6,6.93
7,bandarbeyla,69.0,SO,1566254105.0,67.0,9.49,50.81,74.54,21.14
8,ponta delgada,75.0,PT,1566253832.0,94.0,37.73,-25.67,71.01,6.93
9,gorom-gorom,83.0,BF,1566254105.0,73.0,14.45,-0.24,80.12,10.96
10,taolanaro,,,,,,,,
11,illoqqortoormiut,,,,,,,,
12,komsomolskiy,0.0,RU,1566254106.0,88.0,67.55,63.78,48.62,5.53
13,mayna,99.0,RU,1566254106.0,58.0,53.0,91.49,55.82,7.34
14,klaksvik,100.0,FO,1566254106.0,93.0,62.23,-6.59,46.4,25.28
15,thompson,75.0,CA,1566254106.0,87.0,55.74,-97.86,53.6,10.29
16,richards bay,70.0,ZA,1566254106.0,70.0,-28.77,32.06,67.34,25.05
17,mar del plata,0.0,AR,1566254106.0,44.0,-46.43,-67.52,36.2,5.95
18,butaritari,100.0,KI,1566254106.0,77.0,3.07,172.79,82.1,13.29
19,laguna,20.0,BZ,1566254107.0,66.0,16.17,-88.94,87.8,6.93
20,hamilton,75.0,CA,1566253915.0,65.0,43.26,-79.87,82.99,6.93
21,grand gaube,75.0,MU,1566254107.0,88.0,-20.01,57.66,69.8,8.05
22,hermanus,0.0,ZA,1566254107.0,94.0,-34.42,19.24,51.01,3.0
23,umm durman,,,,,,,,
24,new norfolk,40.0,AU,1566254107.0,58.0,-42.78,147.06,55.4,20.8
25,hilo,75.0,US,1566254107.0,55.0,19.71,-155.08,88.0,11.41
26,sagua la grande,75.0,CU,1566254107.0,78.0,22.81,-80.07,77.0,4.7
