,city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,albany,90.0,US,1569520806.0,77.0,42.65,-73.75,66.2,5.82
1,puerto ayora,75.0,EC,1569520813.0,69.0,-0.74,-90.35,75.2,11.41
2,rikitea,70.0,PF,1569520818.0,72.0,-23.12,-134.97,70.94,9.93
3,khatanga,100.0,RU,1569520819.0,97.0,71.98,102.47,32.42,11.03
4,kiruna,33.0,SE,1569520823.0,81.0,67.86,20.23,48.2,6.02
5,lebu,35.0,ET,1569520824.0,79.0,8.96,38.73,57.8,5.5
6,vostok,0.0,RU,1569520827.0,75.0,46.45,135.83,41.6,4.14
7,leningradskiy,31.0,RU,1569520831.0,75.0,69.38,178.42,25.76,9.26
8,bilibino,97.0,RU,1569520832.0,75.0,68.06,166.44,17.84,2.46
9,barrow,0.0,AR,1569520832.0,46.0,-38.31,-60.23,67.34,14.34
10,torbay,90.0,CA,1569520781.0,100.0,47.66,-52.73,54.0,12.75
11,alofi,100.0,NU,1569520832.0,94.0,-19.06,-169.92,69.8,8.05
12,kapiri mposhi,16.0,ZM,1569520833.0,44.0,-13.97,28.68,63.74,10.27
13,temir,100.0,KZ,1569520833.0,47.0,49.14,57.13,45.38,9.82
14,sungairaya,100.0,ID,1569520833.0,75.0,0.7,108.9,81.56,7.63
15,illoqqortoormiut,,,,,,,,
16,chuy,0.0,UY,1569520833.0,59.0,-33.69,-53.46,62.12,13.56
17,provideniya,100.0,RU,1569520833.0,98.0,64.42,-173.23,36.56,12.73
18,fougeres,90.0,FR,1569520834.0,100.0,48.35,-1.2,63.0,13.87
19,bako,27.0,BF,1569520834.0,40.0,12.29,-0.73,89.84,3.2
20,barentsburg,,,,,,,,
21,hermanus,0.0,ZA,1569520834.0,62.0,-34.42,19.24,70.0,4.97
22,taolanaro,,,,,,,,
23,ushuaia,40.0,AR,1569520652.0,61.0,-54.81,-68.31,48.2,16.11
24,mahebourg,75.0,MU,1569520835.0,94.0,-20.41,57.7,73.99,11.41
25,sabzevar,0.0,IR,1569520835.0,17.0,36.21,57.68,72.38,13.91
26,grindavik,75.0,IS,1569520835.0,82.0,63.84,-22.43,60.8,1.12
27,ngunguru,0.0,NZ,1569520835.0,89.0,-35.62,174.5,48.99,5.99
28,iqaluit,20.0,CA,1569520836.0,80.0,63.75,-68.52,41.0,25.28
29,bredasdorp,0.0,ZA,1569520836.0,32.0,-34.53,20.04,66.2,3.36
